code,name,industry
605507,国邦医药,未知
605589,圣泉集团,未知
605599,菜百股份,未知
688001,华兴源创,未知
688005,容百科技,未知
688006,杭可科技,未知
688009,中国通号,未知
688018,乐鑫科技,未知
688041,海光信息,未知
688047,龙芯中科,未知
688065,凯赛生物,未知
688082,盛美上海,未知
688083,中望软件,未知
688088,虹软科技,未知
688100,威胜信息,未知
688114,华大智造,未知
688120,华海清科,未知
688123,聚辰股份,未知
688126,沪硅产业,未知
688127,蓝特光学,未知
688128,中国电研,未知
688146,中船特气,未知
688147,微导纳米,未知
688169,石头科技,未知
688187,时代电气,未知
688190,云路股份,未知
688192,迪哲医药,未知
688205,德科立,未知
688209,英集芯,未知
688220,翱捷科技,未知
688223,晶科能源,未知
688232,新点软件,未知
688234,天岳先进,未知
688235,百济神州,未知
688248,南网科技,未知
688262,国芯科技,未知
688270,臻镭科技,未知
688271,联影医疗,未知
688276,百克生物,未知
688278,特宝生物,未知
688289,圣湘生物,未知
688300,联瑞新材,未知
688313,仕佳光子,未知
688318,财富趋势,未知
688321,微芯生物,未知
688322,奥比中光,未知
688326,经纬恒润,未知
688327,云从科技,未知
688331,荣昌生物,未知
688332,中科蓝讯,未知
688343,云天励飞,未知
688347,华虹公司,未知
688348,昱能科技,未知
688351,微电生理,未知
688375,国博电子,未知
688380,中微半导,未知
688385,复旦微电,未知
688390,固德威,未知
688396,华润微,未知
688408,中信博,未知
688425,铁建重工,未知
688433,华曙高科,未知
688443,智翔金泰,未知
688472,阿特斯,未知
688484,南芯科技,未知
688498,源杰科技,未知
688502,茂莱光学,未知
688503,聚和材料,未知
688506,百利天恒,未知
688515,裕太微,未知
688520,神州细胞,未知
688522,纳睿雷达,未知
688523,航天环宇,未知
688525,佰维存储,未知
688561,奇安信,未知
688563,航材股份,未知
688568,中科星图,未知
688575,亚辉龙,未知
688584,上海合晶,未知
688586,江航装备,未知
688591,泰凌微,未知
688596,正帆科技,未知
688599,天合光能,未知
688612,威迈斯,未知
688615,合合信息,未知
688630,芯碁微装,未知
688631,莱斯信息,未知
688660,电气风电,未知
688686,奥普特,未知
688690,纳微科技,未知
688698,伟创电气,未知
688700,东威科技,未知
688702,盛科通信,未知
688726,拉普拉斯,未知
688766,普冉股份,未知
688776,国光电气,未知
688798,艾为电子,未知
688819,天能股份,未知
689009,九号公司,未知
